,10 Wire Bundle,20 Wire Bundle
RST,1,3
F0,2,8
F1,3,8
F2,4,8
F3,5,8
F4,6,8
F5,7,8
F6,8,8
F7,9,8
F8,8,11
F9,7,11
F10,6,11
F11,5,11
F12,4,11
D CHR,2,11
DEL LINE,3,11
BREAK,2,2
ESC,2,6
1,2,9
2,3,9
3,4,9
4,5,9
5,6,9
6,7,9
7,8,9
8,9,9
9,7,13
0,6,13
-,5,13
+,4,13
~,3,13
BACKSPACE,2,13
HELP,3,2
TAB,3,6
Q,2,10
W,3,10
E,4,10
R,5,10
T,6,10
Y,7,10
U,8,10
I,9,10
O,8,12
P,7,12
[,8,13
],9,13
DEL,7,2
CAPS,0,5
CTRL,1,1
A,2,14
S,3,14
D,4,14
F,5,14
G,6,14
H,7,14
J,8,14
K,9,14
L,9,15
;,8,6
“,9,6
RETURN,5,6
\,6,2
FAST REPEAT,0,0
SHIFT L,0,4
Z,2,15
X,3,15
C,4,15
V,5,15
B,6,15
N,7,15
M,8,15
",",4,6
.,7,6
/,6,6
SHIFT R,0,7
LINE FEED,5,2
SPACE,4,2
———————,————————,————————
HOME,2,16
L ARROW,2,17
R ARROW,6,16
UP ARROW,6,17
7,3,16
8,3,17
9,7,16
DOWN ARROW,7,17
4,4,16
5,4,17
6,8,16
-,8,17
1,5,16
2,5,17
3,9,16
ENTER,9,17
0,8,2
.,9,2
,,
RESET LED,20= -3v,19= +3v